['0/0', '0/2', '0/8', '0/17', '0/0', '0/0', '101/101']
['0/0', '0/2', '0/3', '0/9', '0/1', '0/0', '113/113']
['0/0', '0/3', '0/3', '0/15', '0/0', '0/0', '107/107']
['0/0', '0/4', '0/6', '0/17', '0/1', '0/0', '100/100']
['0/0', '0/6', '0/6', '0/25', '0/2', '0/0', '89/89']
['0/0', '0/4', '0/6', '0/19', '0/1', '0/0', '98/98']
['0/0', '0/2', '0/5', '8/24', '0/1', '0/0', '88/96']
['0/0', '0/5', '0/6', '3/16', '0/0', '0/0', '95/101']
['0/0', '0/5', '0/13', '3/9', '0/0', '0/0', '83/101']
['0/0', '0/3', '0/8', '5/18', '0/0', '0/0', '78/99']
['0/0', '0/5', '0/9', '4/17', '0/1', '0/0', '81/96']
['0/0', '0/3', '0/12', '10/14', '0/1', '0/0', '56/98']
['0/0', '0/3', '0/7', '8/22', '0/2', '0/0', '67/94']
['0/0', '0/1', '0/11', '6/16', '0/0', '0/0', '72/100']
['0/0', '0/4', '0/7', '10/17', '0/1', '0/0', '75/99']
['0/0', '0/0', '0/4', '10/22', '0/2', '0/0', '81/100']
['0/0', '0/1', '0/4', '6/15', '0/1', '0/0', '94/107']
['0/0', '0/4', '1/5', '7/19', '0/0', '0/0', '84/100']
['0/0', '0/3', '0/7', '8/22', '0/2', '0/0', '74/94']
['0/0', '0/1', '0/9', '4/20', '0/0', '0/0', '85/98']
['0/0', '0/3', '0/6', '8/18', '0/0', '0/0', '71/101']
['0/0', '0/3', '0/3', '7/22', '0/1', '0/0', '70/99']
['0/0', '0/4', '0/8', '8/19', '0/2', '0/0', '71/95']
['0/0', '0/2', '0/6', '7/17', '0/2', '0/0', '75/101']
['0/0', '0/0', '0/6', '9/19', '0/2', '0/0', '77/101']
['0/0', '0/3', '0/5', '8/12', '0/2', '0/0', '82/106']
['0/1', '0/4', '0/4', '8/18', '0/1', '0/0', '77/100']
['0/0', '0/3', '0/7', '4/17', '0/2', '0/0', '83/99']
['0/0', '0/0', '0/9', '3/15', '0/2', '0/0', '85/102']
['0/0', '0/2', '0/7', '13/26', '0/1', '0/0', '66/92']
['0/0', '0/5', '0/8', '7/16', '0/2', '0/0', '70/97']
['0/0', '0/1', '0/6', '8/19', '0/0', '0/0', '59/102']
['0/0', '0/3', '0/7', '8/19', '0/2', '0/0', '83/97']
['0/0', '0/2', '1/12', '5/15', '0/2', '0/0', '79/97']
['0/0', '0/5', '0/8', '2/17', '0/0', '0/0', '89/98']
['0/1', '0/3', '0/8', '15/23', '0/0', '0/0', '69/93']
['0/0', '0/2', '0/6', '4/11', '0/4', '0/0', '75/105']
['0/0', '0/4', '0/9', '7/17', '0/1', '0/0', '74/97']
['0/0', '0/0', '0/3', '5/11', '0/1', '0/0', '78/113']
['0/0', '0/2', '0/8', '4/13', '0/0', '0/0', '81/105']
['0/0', '0/2', '0/5', '9/20', '0/2', '0/0', '75/99']
['0/0', '0/2', '0/11', '5/16', '0/0', '0/0', '84/99']
['0/0', '0/3', '0/4', '5/15', '0/0', '0/0', '85/106']
['0/0', '0/3', '0/6', '13/22', '0/0', '0/0', '68/97']
['0/0', '0/0', '0/5', '6/17', '0/0', '0/0', '78/106']
['0/0', '0/2', '1/10', '7/16', '0/0', '0/0', '79/100']
['0/0', '0/2', '0/6', '9/16', '0/3', '0/0', '74/101']
['0/0', '0/2', '0/11', '10/22', '0/2', '0/0', '80/91']
['0/0', '0/1', '1/6', '14/20', '0/0', '0/0', '80/101']
['0/0', '0/1', '0/5', '5/15', '0/1', '0/0', '86/106']
['0/0', '0/2', '0/6', '8/18', '0/1', '0/0', '76/101']
['0/0', '0/4', '0/5', '7/17', '0/2', '0/0', '82/100']
['0/0', '0/1', '0/3', '4/16', '0/2', '0/0', '84/106']
['0/0', '0/2', '0/6', '9/22', '0/2', '0/0', '75/96']
['0/0', '0/2', '0/4', '8/17', '0/0', '0/0', '75/105']
['0/0', '0/2', '1/4', '7/15', '0/0', '0/0', '81/107']
['0/0', '0/4', '0/5', '8/20', '0/2', '0/0', '66/97']
['0/0', '0/2', '1/2', '7/22', '0/1', '0/0', '83/101']
['0/0', '0/5', '1/7', '4/15', '0/0', '0/0', '81/101']
['0/0', '0/1', '1/10', '9/15', '0/1', '0/0', '81/101']
['0/0', '0/2', '0/11', '6/12', '0/2', '0/0', '82/101']
['0/0', '0/2', '2/10', '9/19', '0/2', '0/0', '76/95']
['0/0', '0/1', '0/10', '4/17', '0/0', '0/0', '85/100']
['0/0', '0/1', '1/8', '6/18', '0/2', '0/0', '81/99']
['0/0', '0/3', '3/10', '6/18', '0/2', '0/0', '72/95']
['0/0', '0/3', '0/5', '9/20', '0/0', '0/0', '76/100']
['0/0', '0/0', '4/9', '3/12', '0/2', '0/0', '87/105']
