recall per class ['0/0', '0/1', '0/3', '8/13', '0/1', '0/0', '84/110']
recall per class ['0/0', '0/2', '0/4', '5/17', '0/0', '0/0', '93/105']
recall per class ['0/0', '0/4', '0/7', '6/18', '0/0', '0/0', '81/99']
recall per class ['0/0', '0/2', '0/9', '5/17', '0/1', '0/0', '80/99']
recall per class ['0/0', '0/3', '0/10', '4/14', '0/0', '0/0', '89/101']
recall per class ['0/0', '0/4', '0/6', '5/15', '0/2', '0/0', '86/101']
recall per class ['0/0', '0/3', '1/10', '11/17', '0/1', '0/0', '74/97']
recall per class ['0/0', '0/3', '0/8', '3/12', '0/1', '0/0', '85/104']
recall per class ['0/0', '0/6', '0/7', '5/18', '0/2', '0/0', '81/95']
recall per class ['0/0', '0/2', '0/2', '7/19', '0/2', '0/0', '87/103']
recall per class ['0/0', '0/2', '0/7', '7/16', '0/0', '0/0', '83/103']
recall per class ['0/0', '0/6', '0/6', '8/14', '0/3', '0/0', '81/99']
recall per class ['0/0', '0/5', '0/6', '6/18', '0/2', '0/0', '84/97']
recall per class ['0/0', '0/2', '1/4', '7/17', '0/0', '0/0', '73/105']
recall per class ['0/0', '0/1', '1/6', '11/20', '0/1', '0/0', '82/100']
recall per class ['0/0', '0/2', '0/3', '5/15', '0/1', '0/0', '78/107']
recall per class ['0/1', '0/5', '3/9', '4/9', '0/0', '0/0', '77/104']
recall per class ['0/0', '0/4', '0/5', '6/14', '0/0', '0/0', '88/105']
recall per class ['0/0', '0/2', '0/15', '8/18', '0/3', '0/0', '70/90']
recall per class ['0/0', '0/1', '0/8', '7/16', '0/1', '0/0', '79/102']
recall per class ['0/0', '0/1', '1/7', '5/22', '0/4', '0/0', '70/94']
recall per class ['0/0', '0/2', '1/10', '4/16', '0/1', '0/0', '86/99']
recall per class ['0/0', '0/2', '1/5', '8/14', '0/1', '0/0', '65/106']
recall per class ['0/0', '0/2', '1/6', '15/26', '0/2', '0/0', '60/92']
recall per class ['0/0', '0/2', '0/8', '8/21', '0/1', '0/0', '76/96']
