['0/0', '0/0', '6/10', '3/24', '0/0', '0/0', '77/94']
['0/0', '0/1', '3/12', '4/25', '0/0', '0/0', '82/90']
['0/0', '2/3', '7/18', '6/22', '0/0', '0/0', '70/85']
['0/0', '1/1', '10/19', '8/21', '0/0', '0/0', '76/87']
['0/0', '0/1', '3/4', '6/34', '0/0', '0/0', '73/89']
['0/0', '0/0', '7/16', '4/11', '0/0', '0/0', '89/101']
['0/0', '1/4', '2/5', '7/24', '0/0', '0/0', '81/95']
['0/0', '0/0', '10/15', '6/24', '0/1', '0/0', '78/88']
['0/0', '0/0', '1/5', '10/36', '0/0', '0/0', '76/87']
['0/0', '0/1', '3/3', '7/24', '0/0', '0/0', '90/100']
['0/0', '1/2', '7/13', '4/14', '0/0', '0/0', '89/99']
['0/0', '0/0', '5/11', '6/23', '0/0', '0/0', '83/94']
['0/0', '0/0', '7/17', '9/22', '0/0', '0/0', '78/89']
['0/0', '0/2', '4/12', '6/22', '0/0', '0/0', '81/92']
['0/0', '1/4', '4/8', '6/18', '0/0', '0/0', '83/98']
['0/0', '3/4', '3/13', '4/19', '0/0', '0/0', '84/92']
['0/0', '0/1', '6/16', '5/18', '0/0', '0/0', '82/93']
['0/0', '0/0', '6/14', '6/18', '0/0', '0/0', '84/96']
['0/0', '0/2', '4/9', '8/19', '0/0', '0/0', '91/98']
['0/0', '1/3', '4/11', '5/20', '0/0', '0/0', '82/94']
['0/0', '1/4', '8/15', '11/21', '0/0', '0/0', '74/88']
['0/0', '0/2', '4/9', '7/19', '0/0', '0/0', '82/98']
['0/0', '0/0', '5/10', '8/21', '0/0', '0/0', '85/97']
['0/0', '2/6', '4/14', '5/29', '0/0', '0/0', '72/79']
['0/0', '3/7', '8/13', '10/22', '0/0', '0/0', '78/86']
['0/0', '1/3', '2/7', '7/16', '0/0', '0/0', '87/102']
['0/0', '0/0', '8/12', '9/26', '0/0', '0/0', '76/90']
['0/0', '1/3', '5/9', '7/26', '0/0', '0/0', '79/90']
['0/0', '1/1', '6/14', '7/17', '0/0', '0/0', '86/96']
['0/0', '2/3', '8/16', '5/26', '0/0', '0/0', '72/83']
['0/0', '1/6', '8/8', '8/17', '0/0', '0/0', '83/97']
